id,title,release_date,release_year,runtime,budget,revenue,vote_average,vote_count,popularity,genres,profit,roi,primary_genre,era
269149,Zootopia,2016-02-11,2016,109,150000000,1025521689,7.757,17303,86.3941,"['Animation', 'Adventure', 'Family', 'Comedy']",875521689,5.83681126,Animation,pre_covid
291805,Now You See Me 2,2016-06-02,2016,129,120000000,334897606,6.827,11232,23.4582,"['Thriller', 'Crime']",214897606,1.7908133833333333,Thriller,pre_covid
259316,Fantastic Beasts and Where to Find Them,2016-11-16,2016,133,180000000,809342332,7.311,19370,18.2641,"['Fantasy', 'Adventure']",629342332,3.4963462888888888,Fantasy,pre_covid
313369,La La Land,2016-12-01,2016,129,30000000,509183536,7.898,17667,17.9645,"['Comedy', 'Drama', 'Romance']",479183536,15.972784533333334,Comedy,pre_covid
329865,Arrival,2016-11-10,2016,116,47000000,203388186,7.623,18784,17.2467,"['Drama', 'Science Fiction', 'Mystery']",156388186,3.3274082127659574,Drama,pre_covid
290098,The Handmaiden,2016-06-01,2016,145,8575000,38600000,8.195,4109,16.5541,"['Thriller', 'Drama', 'Romance']",30025000,3.501457725947522,Thriller,pre_covid
293660,Deadpool,2016-02-09,2016,108,58000000,782837347,7.623,32138,16.1495,"['Action', 'Adventure', 'Comedy']",724837347,12.497195637931034,Action,pre_covid
209112,Batman v Superman: Dawn of Justice,2016-03-23,2016,152,250000000,874362803,5.988,18630,15.5593,"['Action', 'Adventure', 'Fantasy']",624362803,2.497451212,Action,pre_covid
296096,Me Before You,2016-06-01,2016,110,20000000,207945075,7.924,12916,13.4321,"['Drama', 'Romance']",187945075,9.39725375,Drama,pre_covid
396535,Train to Busan,2016-07-20,2016,118,8500000,87547518,7.747,8073,13.1549,"['Horror', 'Thriller', 'Action', 'Adventure']",79047518,9.299708,Horror,pre_covid
271110,Captain America: Civil War,2016-04-27,2016,147,250000000,1155046416,7.447,23569,12.3909,"['Adventure', 'Action', 'Science Fiction']",905046416,3.620185664,Adventure,pre_covid
324786,Hacksaw Ridge,2016-10-07,2016,139,40000000,175302354,8.192,14464,11.908,"['Drama', 'History', 'War']",135302354,3.38255885,Drama,pre_covid
313297,Kubo and the Two Strings,2016-08-18,2016,102,60000000,76249438,7.631,3720,11.6462,"['Animation', 'Adventure', 'Family']",16249438,0.2708239666666667,Animation,pre_covid
278927,The Jungle Book,2016-04-07,2016,106,175000000,966550600,6.867,8338,10.9876,"['Family', 'Adventure', 'Fantasy']",791550600,4.523146285714286,Family,pre_covid
297761,Suicide Squad,2016-08-03,2016,122,175000000,749200054,5.919,21751,10.5047,"['Action', 'Adventure', 'Fantasy']",574200054,3.2811431657142855,Action,pre_covid
397243,The Autopsy of Jane Doe,2016-12-21,2016,86,4000000,6170043,6.826,4560,9.723,"['Horror', 'Mystery']",2170043,0.54251075,Horror,pre_covid
392572,Rustom,2016-08-12,2016,148,6114349,26309214,6.7,129,9.2853,"['Thriller', 'Drama', 'Crime']",20194865,3.302864295119562,Thriller,pre_covid
332210,Storks,2016-09-22,2016,87,70000000,182379278,6.671,2451,9.2088,"['Adventure', 'Animation', 'Comedy', 'Family']",112379278,1.6054182571428572,Adventure,pre_covid
284052,Doctor Strange,2016-10-25,2016,115,180000000,676343174,7.418,22967,9.1266,"['Fantasy', 'Adventure', 'Action']",496343174,2.757462077777778,Fantasy,pre_covid
246655,X-Men: Apocalypse,2016-05-18,2016,144,178000000,543934787,6.518,13477,9.0622,"['Action', 'Adventure', 'Science Fiction', 'Fantasy']",365934787,2.0558134101123597,Action,pre_covid
381284,Hidden Figures,2016-12-10,2016,127,25000000,235957472,8.051,10185,8.8213,"['Drama', 'History']",210957472,8.43829888,Drama,pre_covid
259693,The Conjuring 2,2016-06-08,2016,134,40000000,322819915,7.294,8956,8.6812,['Horror'],282819915,7.070497875,Horror,pre_covid
335797,Sing,2016-11-23,2016,108,75000000,634151679,7.12,8267,8.2732,"['Family', 'Comedy', 'Music', 'Animation']",559151679,7.45535572,Family,pre_covid
363676,Sully,2016-09-07,2016,96,60000000,240800000,7.196,7519,8.058,"['Drama', 'History']",180800000,3.013333333333333,Drama,pre_covid
301365,The Neon Demon,2016-05-31,2016,118,7000000,3400000,6.508,3854,7.9157,"['Horror', 'Thriller']",-3600000,-0.5142857142857142,Horror,pre_covid
